move_id,score,category,rationale,collection_slot_contents,collection_slot_capacity,board_tile_count,accessible_tile_count,board_tiles_by_symbol,id
board-tile-12,5.5,Inaccuracy,Does not contribute to immediate matches and could block useful tiles.,['🍋'],7,80,8,"{'🍎': 4, '🍐': 8, '🍊': 7, '🍋': 9, '🍌': 8, '🍉': 4, '🍇': 5, '🍓': 6, '🍒': 3, '🍑': 8, '🥭': 12, '🍍': 6}",
board-tile-27,6.0,Strategic,Potential for future matches but less urgent compared to other options.,['🍋'],7,80,8,"{'🍎': 4, '🍐': 8, '🍊': 7, '🍋': 9, '🍌': 8, '🍉': 4, '🍇': 5, '🍓': 6, '🍒': 3, '🍑': 8, '🥭': 12, '🍍': 6}",
board-tile-31,6.0,Strategic,Potential for future matches but less urgent compared to other options.,['🍋'],7,80,8,"{'🍎': 4, '🍐': 8, '🍊': 7, '🍋': 9, '🍌': 8, '🍉': 4, '🍇': 5, '🍓': 6, '🍒': 3, '🍑': 8, '🥭': 12, '🍍': 6}",
board-tile-63,7.5,Good,"Matches with existing tiles, freeing up space and resources.",['🍋'],7,80,8,"{'🍎': 4, '🍐': 8, '🍊': 7, '🍋': 9, '🍌': 8, '🍉': 4, '🍇': 5, '🍓': 6, '🍒': 3, '🍑': 8, '🥭': 12, '🍍': 6}",
board-tile-50,8.5,Brilliant,"Completes a critical match, clearing space and preventing an immediate loss.",['🍋'],7,80,8,"{'🍎': 4, '🍐': 8, '🍊': 7, '🍋': 9, '🍌': 8, '🍉': 4, '🍇': 5, '🍓': 6, '🍒': 3, '🍑': 8, '🥭': 12, '🍍': 6}",
board-tile-19,6.5,Strategic,Potential for future matches but less urgent compared to other options.,['🍋'],7,80,8,"{'🍎': 4, '🍐': 8, '🍊': 7, '🍋': 9, '🍌': 8, '🍉': 4, '🍇': 5, '🍓': 6, '🍒': 3, '🍑': 8, '🥭': 12, '🍍': 6}",
board-tile-51,6.5,Strategic,Potential for future matches but less urgent compared to other options.,['🍋'],7,80,8,"{'🍎': 4, '🍐': 8, '🍊': 7, '🍋': 9, '🍌': 8, '🍉': 4, '🍇': 5, '🍓': 6, '🍒': 3, '🍑': 8, '🥭': 12, '🍍': 6}",
board-tile-20,6.0,Strategic,Potential for future matches but less urgent compared to other options.,['🍋'],7,80,8,"{'🍎': 4, '🍐': 8, '🍊': 7, '🍋': 9, '🍌': 8, '🍉': 4, '🍇': 5, '🍓': 6, '🍒': 3, '🍑': 8, '🥭': 12, '🍍': 6}",
board-tile-30,7.5,Strategic,Adds a tile that can potentially complete a match with existing tiles.,['🍋'],7,63,3,"{'🍎': 3, '🍐': 9, '🍊': 5, '🍋': 6, '🍌': 3, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 4, '🍑': 10, '🥭': 5, '🍍': 4}",
board-tile-50,8.5,Brilliant,"Completes a match immediately, freeing up valuable space.",['🍋'],7,63,3,"{'🍎': 3, '🍐': 9, '🍊': 5, '🍋': 6, '🍌': 3, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 4, '🍑': 10, '🥭': 5, '🍍': 4}",
board-tile-19,6.0,Inaccuracy,Doesn't contribute to any immediate matches and is less useful.,['🍋'],7,63,3,"{'🍎': 3, '🍐': 9, '🍊': 5, '🍋': 6, '🍌': 3, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 4, '🍑': 10, '🥭': 5, '🍍': 4}",
board-tile-30,8.5,Strategic,"Matches with existing slot, clears one tile and opens up new matches.","['🍐', '🍉', '🍍']",7,72,5,"{'🍎': 2, '🍐': 8, '🍊': 7, '🍋': 5, '🍌': 6, '🍉': 9, '🍇': 6, '🍓': 10, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-38,8.5,Strategic,"Matches with existing slot, clears one tile and opens up new matches.","['🍐', '🍉', '🍍']",7,72,5,"{'🍎': 2, '🍐': 8, '🍊': 7, '🍋': 5, '🍌': 6, '🍉': 9, '🍇': 6, '🍓': 10, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-6,7.0,Good,Doesn't complete a match but prevents slot overflow temporarily.,"['🍐', '🍉', '🍍']",7,72,5,"{'🍎': 2, '🍐': 8, '🍊': 7, '🍋': 5, '🍌': 6, '🍉': 9, '🍇': 6, '🍓': 10, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-29,5.5,Inaccuracy,No immediate match and could block potential future matches.,"['🍐', '🍉', '🍍']",7,72,5,"{'🍎': 2, '🍐': 8, '🍊': 7, '🍋': 5, '🍌': 6, '🍉': 9, '🍇': 6, '🍓': 10, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-41,4.0,Mistake,Blocks a critical match and adds a tile with no immediate use.,"['🍐', '🍉', '🍍']",7,72,5,"{'🍎': 2, '🍐': 8, '🍊': 7, '🍋': 5, '🍌': 6, '🍉': 9, '🍇': 6, '🍓': 10, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-9,6.5,Strategic,Adds a tile that could potentially match with others later.,"['🍓', '🍑']",7,43,7,"{'🍎': 0, '🍐': 3, '🍊': 5, '🍋': 0, '🍌': 4, '🍉': 5, '🍇': 3, '🍓': 5, '🍒': 6, '🍑': 6, '🥭': 5, '🍍': 1}",
board-tile-17,7.0,Good,"Matches with existing tiles, clearing space and preventing a loss.","['🍓', '🍑']",7,43,7,"{'🍎': 0, '🍐': 3, '🍊': 5, '🍋': 0, '🍌': 4, '🍉': 5, '🍇': 3, '🍓': 5, '🍒': 6, '🍑': 6, '🥭': 5, '🍍': 1}",
board-tile-5,5.5,Inaccuracy,Does not help in creating immediate matches or freeing up space.,"['🍓', '🍑']",7,43,7,"{'🍎': 0, '🍐': 3, '🍊': 5, '🍋': 0, '🍌': 4, '🍉': 5, '🍇': 3, '🍓': 5, '🍒': 6, '🍑': 6, '🥭': 5, '🍍': 1}",
board-tile-11,8.0,Brilliant,"Completes a critical match, freeing up 3 slots and preventing a loss.","['🍓', '🍑']",7,43,7,"{'🍎': 0, '🍐': 3, '🍊': 5, '🍋': 0, '🍌': 4, '🍉': 5, '🍇': 3, '🍓': 5, '🍒': 6, '🍑': 6, '🥭': 5, '🍍': 1}",
board-tile-13,6.0,Strategic,Potential for future matches but does not clear immediate space.,"['🍓', '🍑']",7,43,7,"{'🍎': 0, '🍐': 3, '🍊': 5, '🍋': 0, '🍌': 4, '🍉': 5, '🍇': 3, '🍓': 5, '🍒': 6, '🍑': 6, '🥭': 5, '🍍': 1}",
board-tile-10,7.0,Good,"Matches with existing tiles, clearing space and preventing a loss.","['🍓', '🍑']",7,43,7,"{'🍎': 0, '🍐': 3, '🍊': 5, '🍋': 0, '🍌': 4, '🍉': 5, '🍇': 3, '🍓': 5, '🍒': 6, '🍑': 6, '🥭': 5, '🍍': 1}",
board-tile-29,6.5,Strategic,Adds a tile that could potentially match with others later.,"['🍓', '🍑']",7,43,7,"{'🍎': 0, '🍐': 3, '🍊': 5, '🍋': 0, '🍌': 4, '🍉': 5, '🍇': 3, '🍓': 5, '🍒': 6, '🍑': 6, '🥭': 5, '🍍': 1}",
board-tile-23,8.5,Strategic,"Matches 3 🍊 tiles, clearing them and preventing a future bottleneck.","['🍉', '🍌']",7,78,4,"{'🍎': 1, '🍐': 8, '🍊': 13, '🍋': 9, '🍌': 6, '🍉': 6, '🍇': 3, '🍓': 7, '🍒': 6, '🍑': 5, '🥭': 5, '🍍': 9}",
