move_id,move_symbol,move_layer,score,category,rationale,collection_slot_contents,collection_slot_capacity,board_tile_count,accessible_tile_count,board_tiles_by_symbol,id,symbol
board-tile-66,🍓,0,6.5,Strategic,Blocks a potential match but adds a tile with many matches.,['🍋'],7,75,6,"{'🍎': 5, '🍐': 6, '🍊': 5, '🍋': 10, '🍌': 1, '🍉': 5, '🍇': 4, '🍓': 9, '🍒': 3, '🍑': 3, '🥭': 7, '🍍': 17}",,
board-tile-48,🥭,0,7.0,Good,"Completes a match, clearing tiles and freeing up space.",['🍋'],7,75,6,"{'🍎': 5, '🍐': 6, '🍊': 5, '🍋': 10, '🍌': 1, '🍉': 5, '🍇': 4, '🍓': 9, '🍒': 3, '🍑': 3, '🥭': 7, '🍍': 17}",,
board-tile-26,🍎,2,5.5,Inaccuracy,Doesn't add to immediate matches and doesn't free up space.,['🍋'],7,75,6,"{'🍎': 5, '🍐': 6, '🍊': 5, '🍋': 10, '🍌': 1, '🍉': 5, '🍇': 4, '🍓': 9, '🍒': 3, '🍑': 3, '🥭': 7, '🍍': 17}",,
board-tile-34,🍊,4,5.0,Inaccuracy,No immediate match and could block future opportunities.,['🍋'],7,75,6,"{'🍎': 5, '🍐': 6, '🍊': 5, '🍋': 10, '🍌': 1, '🍉': 5, '🍇': 4, '🍓': 9, '🍒': 3, '🍑': 3, '🥭': 7, '🍍': 17}",,
board-tile-67,🍍,4,7.5,Good,"Completes a match, freeing up valuable slot space.",['🍋'],7,75,6,"{'🍎': 5, '🍐': 6, '🍊': 5, '🍋': 10, '🍌': 1, '🍉': 5, '🍇': 4, '🍓': 9, '🍒': 3, '🍑': 3, '🥭': 7, '🍍': 17}",,
board-tile-62,🍒,0,6.0,Strategic,Blocks a potential match but adds a tile with many matches.,['🍋'],7,75,6,"{'🍎': 5, '🍐': 6, '🍊': 5, '🍋': 10, '🍌': 1, '🍉': 5, '🍇': 4, '🍓': 9, '🍒': 3, '🍑': 3, '🥭': 7, '🍍': 17}",,
board-tile-1,🍉,0,8.0,Strategic,"Matches two 🍉 tiles, setting up potential future triples.","['🍎', '🍍', '🥭', '🍓', '🍓']",7,75,4,"{'🍎': 4, '🍐': 6, '🍊': 3, '🍋': 7, '🍌': 7, '🍉': 11, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 5, '🥭': 11, '🍍': 7}",,
board-tile-33,🍉,2,8.0,Strategic,"Matches two 🍉 tiles, setting up potential future triples.","['🍎', '🍍', '🥭', '🍓', '🍓']",7,75,4,"{'🍎': 4, '🍐': 6, '🍊': 3, '🍋': 7, '🍌': 7, '🍉': 11, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 5, '🥭': 11, '🍍': 7}",,
board-tile-63,🍌,0,6.0,Good,"Matches a 🍌 tile, clearing one slot and opening up possibilities.","['🍎', '🍍', '🥭', '🍓', '🍓']",7,75,4,"{'🍎': 4, '🍐': 6, '🍊': 3, '🍋': 7, '🍌': 7, '🍉': 11, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 5, '🥭': 11, '🍍': 7}",,
board-tile-44,🍉,0,8.0,Strategic,"Matches two 🍉 tiles, setting up potential future triples.","['🍎', '🍍', '🥭', '🍓', '🍓']",7,75,4,"{'🍎': 4, '🍐': 6, '🍊': 3, '🍋': 7, '🍌': 7, '🍉': 11, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 5, '🥭': 11, '🍍': 7}",,
board-tile-41,🍓,4,3.5,Inaccuracy,"Adds a tile with no immediate matches, potentially blocking future opportunities.",['🍍'],7,48,4,"{'🍎': 3, '🍐': 5, '🍊': 5, '🍋': 8, '🍌': 2, '🍉': 2, '🍇': 6, '🍓': 2, '🍒': 2, '🍑': 5, '🥭': 4, '🍍': 4}",,
board-tile-5,🍐,4,5.0,Strategic,"Matches with another tile, clearing space and setting up potential future moves.",['🍍'],7,48,4,"{'🍎': 3, '🍐': 5, '🍊': 5, '🍋': 8, '🍌': 2, '🍉': 2, '🍇': 6, '🍓': 2, '🍒': 2, '🍑': 5, '🥭': 4, '🍍': 4}",,
board-tile-9,🍎,0,6.5,Good,"Completes a critical match, freeing up valuable slots and reducing risk.",['🍍'],7,48,4,"{'🍎': 3, '🍐': 5, '🍊': 5, '🍋': 8, '🍌': 2, '🍉': 2, '🍇': 6, '🍓': 2, '🍒': 2, '🍑': 5, '🥭': 4, '🍍': 4}",,
board-tile-13,🍐,0,4.5,Inaccuracy,"Adds another tile with no immediate matches, increasing complexity without immediate benefit.",['🍍'],7,48,4,"{'🍎': 3, '🍐': 5, '🍊': 5, '🍋': 8, '🍌': 2, '🍉': 2, '🍇': 6, '🍓': 2, '🍒': 2, '🍑': 5, '🥭': 4, '🍍': 4}",,
board-tile-16,🍐,3,4.5,Inaccuracy,No immediate match and less common tile.,"['🍒', '🍎', '🍒', '🍊', '🍍']",7,46,5,"{'🍎': 4, '🍐': 3, '🍊': 3, '🍋': 7, '🍌': 4, '🍉': 5, '🍇': 5, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 5, '🍍': 3}",,
board-tile-43,🍉,1,6.0,Strategic,"Opens potential for future matches, especially with 🍍.","['🍒', '🍎', '🍒', '🍊', '🍍']",7,46,5,"{'🍎': 4, '🍐': 3, '🍊': 3, '🍋': 7, '🍌': 4, '🍉': 5, '🍇': 5, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 5, '🍍': 3}",,
board-tile-27,🍎,2,5.5,Good,"Completes a 🍎 match, freeing up slots.","['🍒', '🍎', '🍒', '🍊', '🍍']",7,46,5,"{'🍎': 4, '🍐': 3, '🍊': 3, '🍋': 7, '🍌': 4, '🍉': 5, '🍇': 5, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 5, '🍍': 3}",,
board-tile-5,🍇,0,3.5,Mistake,No immediate match and could block other tiles.,"['🍒', '🍎', '🍒', '🍊', '🍍']",7,46,5,"{'🍎': 4, '🍐': 3, '🍊': 3, '🍋': 7, '🍌': 4, '🍉': 5, '🍇': 5, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 5, '🍍': 3}",,
board-tile-9,🍒,4,8.5,Brilliant,"Completes a 🍒 match, clearing critical tiles.","['🍒', '🍎', '🍒', '🍊', '🍍']",7,46,5,"{'🍎': 4, '🍐': 3, '🍊': 3, '🍋': 7, '🍌': 4, '🍉': 5, '🍇': 5, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 5, '🍍': 3}",,
board-tile-36,🍌,2,6.0,Strategic,"Matches with existing tiles, but does not create immediate triples.","['🍓', '🍍']",7,39,4,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 7, '🍌': 5, '🍉': 1, '🍇': 2, '🍓': 4, '🍒': 5, '🍑': 0, '🥭': 3, '🍍': 5}",,
board-tile-23,🍋,4,7.0,Good,Part of a potential triple with other 🍋 tiles.,"['🍓', '🍍']",7,39,4,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 7, '🍌': 5, '🍉': 1, '🍇': 2, '🍓': 4, '🍒': 5, '🍑': 0, '🥭': 3, '🍍': 5}",,
board-tile-27,🥭,0,4.0,Inaccuracy,Does not match with any existing tiles and is not part of a potential triple.,"['🍓', '🍍']",7,39,4,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 7, '🍌': 5, '🍉': 1, '🍇': 2, '🍓': 4, '🍒': 5, '🍑': 0, '🥭': 3, '🍍': 5}",,
board-tile-38,🥭,3,7.0,Good,Part of a potential triple with other 🥭 tiles.,"['🍓', '🍍']",7,39,4,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 7, '🍌': 5, '🍉': 1, '🍇': 2, '🍓': 4, '🍒': 5, '🍑': 0, '🥭': 3, '🍍': 5}",,
board-tile-3,🍋,3,8.5,Strategic,"Matches 🍋 with existing 🍋 in collection, clearing 3 tiles.","['🍐', '🍍', '🍉', '🍌', '🍑']",7,49,6,"{'🍎': 2, '🍐': 1, '🍊': 5, '🍋': 7, '🍌': 4, '🍉': 8, '🍇': 3, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 4, '🍍': 3}",,
board-tile-22,🍋,3,8.5,Strategic,"Matches 🍋 with existing 🍋 in collection, clearing 3 tiles.","['🍐', '🍍', '🍉', '🍌', '🍑']",7,49,6,"{'🍎': 2, '🍐': 1, '🍊': 5, '🍋': 7, '🍌': 4, '🍉': 8, '🍇': 3, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 4, '🍍': 3}",,
board-tile-1,🍊,1,7.0,Good,"Matches 🍊 with existing 🍊 in collection, clearing 3 tiles.","['🍐', '🍍', '🍉', '🍌', '🍑']",7,49,6,"{'🍎': 2, '🍐': 1, '🍊': 5, '🍋': 7, '🍌': 4, '🍉': 8, '🍇': 3, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 4, '🍍': 3}",,
board-tile-44,🍋,0,8.5,Strategic,"Matches 🍋 with existing 🍋 in collection, clearing 3 tiles.","['🍐', '🍍', '🍉', '🍌', '🍑']",7,49,6,"{'🍎': 2, '🍐': 1, '🍊': 5, '🍋': 7, '🍌': 4, '🍉': 8, '🍇': 3, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 4, '🍍': 3}",,
board-tile-47,🍇,2,6.0,Inaccuracy,No immediate matches and does not contribute to clearing tiles.,"['🍐', '🍍', '🍉', '🍌', '🍑']",7,49,6,"{'🍎': 2, '🍐': 1, '🍊': 5, '🍋': 7, '🍌': 4, '🍉': 8, '🍇': 3, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 4, '🍍': 3}",,
board-tile-23,🍉,0,7.5,Good,"Matches 🍉 with existing 🍉 in collection, clearing 3 tiles.","['🍐', '🍍', '🍉', '🍌', '🍑']",7,49,6,"{'🍎': 2, '🍐': 1, '🍊': 5, '🍋': 7, '🍌': 4, '🍉': 8, '🍇': 3, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 4, '🍍': 3}",,
board-tile-21,🍎,2,3.5,Inaccuracy,Doesn't contribute to any immediate match and could block better options.,"['🍓', '🍓']",7,31,4,"{'🍎': 2, '🍐': 2, '🍊': 4, '🍋': 0, '🍌': 4, '🍉': 0, '🍇': 2, '🍓': 5, '🍒': 2, '🍑': 3, '🥭': 2, '🍍': 5}",,
board-tile-23,🍍,1,5.0,Strategic,"Adds a tile that could be part of a future match, preventing potential blockades.","['🍓', '🍓']",7,31,4,"{'🍎': 2, '🍐': 2, '🍊': 4, '🍋': 0, '🍌': 4, '🍉': 0, '🍇': 2, '🍓': 5, '🍒': 2, '🍑': 3, '🥭': 2, '🍍': 5}",,
board-tile-3,🍑,3,6.0,Good,"Clears a row, potentially creating a match and opening up space.","['🍓', '🍓']",7,31,4,"{'🍎': 2, '🍐': 2, '🍊': 4, '🍋': 0, '🍌': 4, '🍉': 0, '🍇': 2, '🍓': 5, '🍒': 2, '🍑': 3, '🥭': 2, '🍍': 5}",,
board-tile-17,🍊,3,7.5,Brilliant,"Completes a match immediately, freeing up space and securing a win.","['🍓', '🍓']",7,31,4,"{'🍎': 2, '🍐': 2, '🍊': 4, '🍋': 0, '🍌': 4, '🍉': 0, '🍇': 2, '🍓': 5, '🍒': 2, '🍑': 3, '🥭': 2, '🍍': 5}",,
board-tile-27,🍓,3,7.5,Strategic,"Matches a 🍇, clearing it and setting up future matches.","['🍉', '🍎', '🍊', '🍊', '🍍']",7,35,3,"{'🍎': 6, '🍐': 4, '🍊': 1, '🍋': 2, '🍌': 3, '🍉': 0, '🍇': 3, '🍓': 4, '🍒': 2, '🍑': 3, '🥭': 4, '🍍': 3}",,
board-tile-26,🍐,4,6.0,Good,"Matches a 🍐, clearing it but less strategically useful.","['🍉', '🍎', '🍊', '🍊', '🍍']",7,35,3,"{'🍎': 6, '🍐': 4, '🍊': 1, '🍋': 2, '🍌': 3, '🍉': 0, '🍇': 3, '🍓': 4, '🍒': 2, '🍑': 3, '🥭': 4, '🍍': 3}",,
board-tile-11,🍇,1,4.5,Inaccuracy,"No immediate match, wastes a slot and doesn't free up any tiles.","['🍉', '🍎', '🍊', '🍊', '🍍']",7,35,3,"{'🍎': 6, '🍐': 4, '🍊': 1, '🍋': 2, '🍌': 3, '🍉': 0, '🍇': 3, '🍓': 4, '🍒': 2, '🍑': 3, '🥭': 4, '🍍': 3}",,
board-tile-39,🥭,3,5.0,Inaccuracy,Doesn't complete any match and adds a tile with no immediate matches.,"['🍎', '🍍']",7,57,3,"{'🍎': 6, '🍐': 0, '🍊': 8, '🍋': 4, '🍌': 4, '🍉': 4, '🍇': 1, '🍓': 5, '🍒': 9, '🍑': 6, '🥭': 6, '🍍': 4}",,
board-tile-56,🍌,0,6.0,Strategic,Prepares for potential future matches but doesn't complete any now.,"['🍎', '🍍']",7,57,3,"{'🍎': 6, '🍐': 0, '🍊': 8, '🍋': 4, '🍌': 4, '🍉': 4, '🍇': 1, '🍓': 5, '🍒': 9, '🍑': 6, '🥭': 6, '🍍': 4}",,
board-tile-28,🍊,3,7.0,Good,"Completes a match, freeing up space and preventing a potential loss.","['🍎', '🍍']",7,57,3,"{'🍎': 6, '🍐': 0, '🍊': 8, '🍋': 4, '🍌': 4, '🍉': 4, '🍇': 1, '🍓': 5, '🍒': 9, '🍑': 6, '🥭': 6, '🍍': 4}",,
board-tile-10,🍒,2,5.5,Inaccuracy,"Adds a tile with no immediate matches, reducing slot capacity.",[],7,70,4,"{'🍎': 4, '🍐': 5, '🍊': 3, '🍋': 6, '🍌': 8, '🍉': 7, '🍇': 5, '🍓': 4, '🍒': 9, '🍑': 11, '🥭': 1, '🍍': 7}",,
board-tile-43,🍎,4,7.0,Strategic,"Completes a triple with two other 🍎 tiles, freeing up valuable slots.",[],7,70,4,"{'🍎': 4, '🍐': 5, '🍊': 3, '🍋': 6, '🍌': 8, '🍉': 7, '🍇': 5, '🍓': 4, '🍒': 9, '🍑': 11, '🥭': 1, '🍍': 7}",,
board-tile-56,🍇,4,6.0,Good,Unlocks a potential match with another 🍇 tile nearby.,[],7,70,4,"{'🍎': 4, '🍐': 5, '🍊': 3, '🍋': 6, '🍌': 8, '🍉': 7, '🍇': 5, '🍓': 4, '🍒': 9, '🍑': 11, '🥭': 1, '🍍': 7}",,
board-tile-65,🍓,1,6.5,Good,Potential to set up a future match with other 🍓 tiles.,[],7,70,4,"{'🍎': 4, '🍐': 5, '🍊': 3, '🍋': 6, '🍌': 8, '🍉': 7, '🍇': 5, '🍓': 4, '🍒': 9, '🍑': 11, '🥭': 1, '🍍': 7}",,
board-tile-51,🍉,1,7.0,Strategic,Adds a tile that can potentially match with existing '🎯' tiles.,"['🍒', '🍐', '🍎', '🍌', '🍒']",7,53,7,"{'🍎': 6, '🍐': 5, '🍊': 2, '🍋': 1, '🍌': 7, '🍉': 7, '🍇': 2, '🍓': 1, '🍒': 6, '🍑': 5, '🥭': 6, '🍍': 5}",,
board-tile-42,🍉,2,7.0,Strategic,Adds a tile that can potentially match with existing '🎯' tiles.,"['🍒', '🍐', '🍎', '🍌', '🍒']",7,53,7,"{'🍎': 6, '🍐': 5, '🍊': 2, '🍋': 1, '🍌': 7, '🍉': 7, '🍇': 2, '🍓': 1, '🍒': 6, '🍑': 5, '🥭': 6, '🍍': 5}",,
board-tile-43,🍐,0,8.5,Brilliant,"Completes a match of three '➡️', clearing space and preventing a loss.","['🍒', '🍐', '🍎', '🍌', '🍒']",7,53,7,"{'🍎': 6, '🍐': 5, '🍊': 2, '🍋': 1, '🍌': 7, '🍉': 7, '🍇': 2, '🍓': 1, '🍒': 6, '🍑': 5, '🥭': 6, '🍍': 5}",,
board-tile-34,🍎,1,6.0,Good,Adds a tile that can match with existing '⬇️' tiles.,"['🍒', '🍐', '🍎', '🍌', '🍒']",7,53,7,"{'🍎': 6, '🍐': 5, '🍊': 2, '🍋': 1, '🍌': 7, '🍉': 7, '🍇': 2, '🍓': 1, '🍒': 6, '🍑': 5, '🥭': 6, '🍍': 5}",,
board-tile-35,🍇,2,5.5,Inaccuracy,Adds a less useful tile with no immediate matches.,"['🍒', '🍐', '🍎', '🍌', '🍒']",7,53,7,"{'🍎': 6, '🍐': 5, '🍊': 2, '🍋': 1, '🍌': 7, '🍉': 7, '🍇': 2, '🍓': 1, '🍒': 6, '🍑': 5, '🥭': 6, '🍍': 5}",,
board-tile-41,🍍,1,5.0,Mistake,"Adds a tile with no immediate matches, wasting a slot.","['🍒', '🍐', '🍎', '🍌', '🍒']",7,53,7,"{'🍎': 6, '🍐': 5, '🍊': 2, '🍋': 1, '🍌': 7, '🍉': 7, '🍇': 2, '🍓': 1, '🍒': 6, '🍑': 5, '🥭': 6, '🍍': 5}",,
board-tile-48,🍍,4,5.0,Mistake,"Adds a tile with no immediate matches, wasting a slot.","['🍒', '🍐', '🍎', '🍌', '🍒']",7,53,7,"{'🍎': 6, '🍐': 5, '🍊': 2, '🍋': 1, '🍌': 7, '🍉': 7, '🍇': 2, '🍓': 1, '🍒': 6, '🍑': 5, '🥭': 6, '🍍': 5}",,
board-tile-20,🍉,4,2.5,Inaccuracy,High-risk tile with no immediate matches.,['🍒'],7,67,5,"{'🍎': 5, '🍐': 4, '🍊': 5, '🍋': 6, '🍌': 4, '🍉': 4, '🍇': 7, '🍓': 7, '🍒': 8, '🍑': 3, '🥭': 10, '🍍': 4}",,
board-tile-9,🥭,3,3.5,Strategic,"Potential for future matches, but high layer.",['🍒'],7,67,5,"{'🍎': 5, '🍐': 4, '🍊': 5, '🍋': 6, '🍌': 4, '🍉': 4, '🍇': 7, '🍓': 7, '🍒': 8, '🍑': 3, '🥭': 10, '🍍': 4}",,
