game_id,turn_number,difficulty,gs_collection_fill_ratio,gs_board_tile_count,gs_accessible_tile_count,gs_accessible_symbols,move_tile_symbol,move_tile_layer,move_heuristic_score,move_is_best_heuristic,move_unblocks_potential,move_outcome,llm_classification,llm_quality_score,llm_strategy_score,llm_risk_score,llm_efficiency_score,llm_combo_potential_score
1,1,easy,0.0,35,16,"[""\ud83c\udf4a"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4a"", ""\ud83c\udf4d"", ""\ud83c\udf4a"", ""\ud83c\udf4a"", ""\ud83c\udf53"", ""\ud83c\udf53"", ""\ud83c\udf53"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf47""]",🍓,1,65,False,0,unknown,Good,7,6,4,8,5
1,2,easy,0.14285714285714285,34,15,"[""\ud83c\udf53"", ""\ud83c\udf53"", ""\ud83c\udf4a"", ""\ud83c\udf4a"", ""\ud83c\udf4a"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4a"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf47""]",🍊,1,68,False,1,unknown,Good,7,6,3,8,4
1,3,easy,0.2857142857142857,33,15,"[""\ud83c\udf4a"", ""\ud83c\udf4a"", ""\ud83c\udf53"", ""\ud83c\udf53"", ""\ud83c\udf4a"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf47""]",🍍,1,69,False,0,unknown,Inaccuracy,7,6,3,5,4
1,4,easy,0.42857142857142855,32,14,"[""\ud83c\udf4a"", ""\ud83c\udf4a"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf53"", ""\ud83c\udf53"", ""\ud83c\udf4d"", ""\ud83c\udf4a"", ""\ud83c\udf4d"", ""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf47""]",🍊,1,81,False,0,unknown,Good,7,6,3,8,4
1,5,easy,0.5714285714285714,31,13,"[""\ud83c\udf4a"", ""\ud83c\udf4a"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf53"", ""\ud83c\udf53"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf47""]",🍓,1,81,False,0,unknown,Good,7,6,4,8,5
1,6,easy,0.7142857142857143,30,12,"[""\ud83c\udf4a"", ""\ud83c\udf53"", ""\ud83c\udf4a"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf47"", ""\ud83c\udf49"", ""\ud83c\udf4c""]",🍊,1,103,True,1,unknown,Good,9,8,2,9,7
1,7,easy,0.42857142857142855,29,12,"[""\ud83c\udf53"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf47"", ""\ud83c\udf4a""]",🍓,1,101,True,0,unknown,Good,9,8,2,9,7
1,8,easy,0.14285714285714285,28,11,"[""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf47"", ""\ud83c\udf4a""]",🍍,1,82,False,1,unknown,Inaccuracy,7,6,4,5,3
1,9,easy,0.2857142857142857,27,11,"[""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf4c"", ""\ud83c\udf4c"", ""\ud83c\udf47"", ""\ud83c\udf4a""]",🍌,1,65,False,2,unknown,Inaccuracy,7,6,4,5,3
1,10,easy,0.42857142857142855,26,12,"[""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4c"", ""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf47"", ""\ud83c\udf4a"", ""\ud83c\udf53""]",🍌,1,82,False,1,unknown,Inaccuracy,7,6,4,5,3
1,11,easy,0.5714285714285714,25,12,"[""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4c"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf47"", ""\ud83c\udf4a"", ""\ud83c\udf53""]",🍍,1,105,True,2,unknown,Good,9,8,2,9,7
1,12,easy,0.2857142857142857,24,13,"[""\ud83c\udf4c"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf49"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4d"", ""\ud83c\udf4a"", ""\ud83c\udf4a"", ""\ud83c\udf47"", ""\ud83c\udf53""]",🍍,1,67,False,2,unknown,Inaccuracy,7,6,4,5,3
